customer_id,churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,paperless_billing,payment_method,monthly_charge,total_charge,expected_total,diff_expected_minus_total,ratio_total_expected,missing_total,missing_monthly,missing_tenure,suspicious_evasion_flag,suspicion_reasons
0002-ORFBO,No,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,mailed check,65.6,593.3,590.4,-2.8999999999999773,1.0049119241192412,False,False,False,False,
0003-MKNFE,No,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,mailed check,59.9,542.4,539.1,-3.2999999999999545,1.0061213132999443,False,False,False,False,
0004-TLHLJ,Yes,Male,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,electronic check,73.9,280.85,295.6,14.75,0.9501014884979703,False,False,False,False,
0011-IGKFF,Yes,Male,1,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,98.0,1237.85,1274.0,36.15000000000009,0.9716248037676608,False,False,False,False,
0013-EXCHZ,Yes,Female,1,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,mailed check,83.9,267.4,251.70000000000002,-15.69999999999996,1.0623758442590383,False,False,False,False,
0013-MHZWF,No,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,credit card (automatic),69.4,571.45,624.6,53.14999999999998,0.9149055395453091,False,False,False,False,
0013-SMEOE,No,Female,1,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,bank transfer (automatic),109.7,7904.25,7788.7,-115.55000000000018,1.0148355951570867,False,False,False,False,
0014-BMAQU,No,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,credit card (automatic),84.65,5377.8,5332.950000000001,-44.849999999999454,1.008409979467274,False,False,False,False,
0015-UOCOJ,No,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,electronic check,48.2,340.35,337.40000000000003,-2.9499999999999886,1.0087433313574392,False,False,False,False,
0016-QLJIS,No,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,mailed check,90.45,5957.9,5879.25,-78.64999999999964,1.0133775566611387,False,False,False,False,
0017-DINOC,No,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,credit card (automatic),45.2,2460.55,2440.8,-19.75,1.0080916093084236,False,False,False,False,
0017-IUDMW,No,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,credit card (automatic),116.8,8456.75,8409.6,-47.149999999999636,1.0056066875951293,False,False,False,False,
0018-NYROU,No,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,68.95,351.5,344.75,-6.75,1.0195794053662075,False,False,False,False,
0019-EFAEP,No,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,bank transfer (automatic),101.3,7261.25,7293.599999999999,32.349999999999454,0.9955646045848415,False,False,False,False,
